Date,Area,Duration,Visitors,Holiday
02/07/2019,Piazza Verdi,150.0,135,False
02/07/2019,Facoltà Di Giurisprudenza,15.0,295,False
02/07/2019,2 Torri (Inizio Portico Via Zamboni),105.0,118,False
02/07/2019,Piazza Rossini (Palazzo Malvezzi),7.5,575,False
02/07/2019,Piazza Rossini (Palazzo Malvezzi),105.0,27,False
02/07/2019,Piazza Rossini (Palazzo Malvezzi),300.0,7,False
02/07/2019,2 Torri (Inizio Portico Via Zamboni),1.0,6667,False
02/07/2019,2 Torri (Inizio Portico Via Zamboni),75.0,198,False
02/07/2019,2 Torri (Inizio Portico Via Zamboni),150.0,90,False
02/07/2019,2 Torri (Inizio Portico Via Zamboni),300.0,48,False
02/07/2019,2 Torri (Inizio Portico Via Zamboni),360.0,98,False
02/07/2019,Via Del Guasto,300.0,0,False
02/07/2019,Piazza Puntoni (Via Zamboni),50.0,237,False
02/07/2019,Piazza Puntoni (Via Zamboni),3.0,2859,False
02/07/2019,Piazza Puntoni (Via Zamboni),1.0,4944,False
02/07/2019,Porta San Donato,360.0,93,False
02/07/2019,Porta San Donato,300.0,89,False
02/07/2019,Porta San Donato,150.0,191,False
02/07/2019,Piazza Puntoni (Via Zamboni),7.5,631,False
02/07/2019,Piazza Puntoni (Via Zamboni),15.0,699,False
02/07/2019,Porta San Donato,50.0,412,False
02/07/2019,Porta San Donato,30.0,1358,False
02/07/2019,Porta San Donato,15.0,1324,False
02/07/2019,Porta San Donato,7.5,1327,False
02/07/2019,Porta San Donato,3.0,9933,False
02/07/2019,Piazza Puntoni (Via Zamboni),30.0,693,False
02/07/2019,Via Del Guasto,210.0,0,False
02/07/2019,Via Del Guasto,150.0,0,False
02/07/2019,Via Del Guasto,75.0,0,False
02/07/2019,Via San Giacomo,300.0,4,False
02/07/2019,Via San Giacomo,50.0,117,False
02/07/2019,Via San Giacomo,7.5,929,False
02/07/2019,Via San Giacomo,1.0,9560,False
02/07/2019,Piazza Puntoni (Via Zamboni),300.0,31,False
02/07/2019,Piazza Puntoni (Via Zamboni),150.0,76,False
02/07/2019,Porta San Donato,1.0,10996,False
02/07/2019,Porta San Donato,75.0,275,False
02/07/2019,Porta San Donato,105.0,168,False
02/07/2019,Porta San Donato,210.0,81,False
02/07/2019,Via San Giacomo,15.0,614,False
02/07/2019,Via San Giacomo,30.0,406,False
02/07/2019,Via San Giacomo,105.0,31,False
